point_id,longitude,latitude,location,poi,poi_type
11918044768,-118.4110683,33.8844618,Los Angeles County,pub,amenity
11955852208,-118.8430456,34.0313587,Los Angeles County,pub,amenity
11967805236,-118.1926726,33.7648342,Los Angeles County,pub,amenity
11967820059,-118.1926206,33.7696265,Los Angeles County,pub,amenity
11967838728,-118.1922516,33.7699646,Los Angeles County,pub,amenity
11967856141,-118.1909385,33.7697012,Los Angeles County,pub,amenity
11967856142,-118.190944,33.7699779,Los Angeles County,pub,amenity
11967903722,-118.1909261,33.7694537,Los Angeles County,pub,amenity
11992792100,-118.1590855,33.7716205,Los Angeles County,pub,amenity
12109318506,-118.2332154,34.0508975,Los Angeles County,pub,amenity
358781406,-118.211739,34.0633445,Los Angeles County,college,amenity
358782604,-117.880617,34.0888981,Los Angeles County,college,amenity
358784455,-118.1403486,34.1480627,Los Angeles County,college,amenity
358787451,-117.9895098,34.0313997,Los Angeles County,college,amenity
358850275,-118.2639633,34.0539007,Los Angeles County,college,amenity
358856161,-118.0944444,33.9275,Los Angeles County,college,amenity
358858178,-118.3101169,34.1079659,Los Angeles County,college,amenity
358858211,-118.2599289,34.04422,Los Angeles County,college,amenity
358858215,-118.5389718,34.1796495,Los Angeles County,college,amenity
358858246,-118.4850455,34.0303008,Los Angeles County,college,amenity
358858270,-118.4036149,34.1863401,Los Angeles County,college,amenity
358858385,-118.211744,34.0631865,Los Angeles County,college,amenity
358858646,-118.3375812,34.1009721,Los Angeles County,college,amenity
358858653,-118.2991149,34.0613908,Los Angeles County,college,amenity
618436626,-118.1483786,34.1291283,Los Angeles County,college,amenity
3180298833,-118.1395695,34.1460567,Los Angeles County,college,amenity
3947031769,-118.5967731,34.1851917,Los Angeles County,college,amenity
5154343067,-118.5775047,34.1856126,Los Angeles County,college,amenity
5154343068,-118.5753053,34.1825706,Los Angeles County,college,amenity
5154343069,-118.575544,34.1827947,Los Angeles County,college,amenity
5154343071,-118.5695414,34.1838617,Los Angeles County,college,amenity
5154343072,-118.5697457,34.1830251,Los Angeles County,college,amenity
5154343073,-118.5687506,34.1838112,Los Angeles County,college,amenity
5209151262,-118.499216,34.0169875,Los Angeles County,college,amenity
5361958126,-118.2139571,34.1261596,Los Angeles County,college,amenity
5636283929,-118.1344224,33.8082375,Los Angeles County,college,amenity
5640792847,-118.1406056,33.7861315,Los Angeles County,college,amenity
6779884336,-118.2553051,34.1489573,Los Angeles County,college,amenity
6779884337,-118.2552594,34.1488914,Los Angeles County,college,amenity
8372546225,-118.2546303,34.0559517,Los Angeles County,college,amenity
8429489900,-118.328807,33.8856019,Los Angeles County,college,amenity
8429489901,-118.328698,33.8852898,Los Angeles County,college,amenity
8429489902,-118.328283,33.8851168,Los Angeles County,college,amenity
8429489903,-118.3278,33.8839994,Los Angeles County,college,amenity
8429489904,-118.328276,33.8839364,Los Angeles County,college,amenity
8429489905,-118.328155,33.8835111,Los Angeles County,college,amenity
8429489907,-118.329091,33.883478,Los Angeles County,college,amenity
8429489908,-118.328799,33.8837898,Los Angeles County,college,amenity
8429489909,-118.329645,33.8832992,Los Angeles County,college,amenity
8429489910,-118.329781,33.8835209,Los Angeles County,college,amenity
8429489911,-118.3297496,33.8837296,Los Angeles County,college,amenity
8429489912,-118.329814,33.8839319,Los Angeles County,college,amenity
8429500240,-118.3282771,33.8866735,Los Angeles County,college,amenity
8429500241,-118.3276083,33.8867778,Los Angeles County,college,amenity
8429500242,-118.327551,33.8864358,Los Angeles County,college,amenity
8429500243,-118.3275067,33.8860784,Los Angeles County,college,amenity
9217515278,-118.0866897,34.5813121,Los Angeles County,college,amenity
9307471060,-118.4460507,34.0593833,Los Angeles County,college,amenity
9916907727,-118.2994343,34.0613552,Los Angeles County,college,amenity
10579991582,-118.5043988,34.1888349,Los Angeles County,college,amenity
11742322227,-118.0878346,34.5814876,Los Angeles County,college,amenity
243805625,-118.417116,33.9594189,Los Angeles County,library,amenity
344327189,-118.3013483,34.2582533,Los Angeles County,library,amenity
352502734,-118.3991019,34.072877,Los Angeles County,library,amenity
368169008,-118.483636,34.0027398,Los Angeles County,library,amenity
368169009,-118.470092,34.0160907,Los Angeles County,library,amenity
368169011,-118.4687138,34.0526979,Los Angeles County,library,amenity
368169012,-118.3767443,34.0605657,Los Angeles County,library,amenity
368169014,-118.3859111,34.0483437,Los Angeles County,library,amenity
368169022,-118.4635887,34.014622,Los Angeles County,library,amenity
368169322,-118.3542412,33.8986257,Los Angeles County,library,amenity
368169441,-118.2139586,33.8047396,Los Angeles County,library,amenity
368169442,-118.1304834,33.7580776,Los Angeles County,library,amenity
368169447,-118.1853462,33.796684,Los Angeles County,library,amenity
368169450,-118.1955481,33.8394894,Los Angeles County,library,amenity
368169463,-118.3203503,33.8150166,Los Angeles County,library,amenity
368169464,-118.34174,33.837238,Los Angeles County,library,amenity
368169465,-118.0319199,34.1284963,Los Angeles County,library,amenity
368169466,-118.1864612,34.1136199,Los Angeles County,library,amenity
368169468,-118.775623,34.1445091,Los Angeles County,library,amenity
368169469,-118.1739606,34.0875099,Los Angeles County,library,amenity
368169471,-118.2122949,34.0441788,Los Angeles County,library,amenity
368169472,-118.2274092,34.094517,Los Angeles County,library,amenity
368169473,-118.2628409,33.7891556,Los Angeles County,library,amenity
368169475,-118.1981276,34.0275127,Los Angeles County,library,amenity
368169478,-118.238338,33.9598869,Los Angeles County,library,amenity
368169482,-118.0820133,34.1580621,Los Angeles County,library,amenity
368169483,-118.2186834,33.9802923,Los Angeles County,library,amenity
368169486,-118.1940523,34.2028277,Los Angeles County,library,amenity
368169488,-117.950897,34.0191781,Los Angeles County,library,amenity
368169490,-118.1889603,33.9877918,Los Angeles County,library,amenity
368169496,-118.1780407,34.0559461,Los Angeles County,library,amenity
368169497,-118.1561817,34.0005691,Los Angeles County,library,amenity
368169499,-118.1778051,34.0237105,Los Angeles County,library,amenity
368169502,-118.0992358,34.0958423,Los Angeles County,library,amenity
368169505,-118.129792,34.1691729,Los Angeles County,library,amenity
368169506,-118.0620475,34.1614576,Los Angeles County,library,amenity
368169510,-117.9770094,34.05501,Los Angeles County,library,amenity
368169513,-118.3195169,33.8052945,Los Angeles County,library,amenity
368169514,-118.2658069,33.8676619,Los Angeles County,library,amenity
368169515,-118.1009016,33.9689024,Los Angeles County,library,amenity
368169516,-118.0892349,33.9919574,Los Angeles County,library,amenity
368169517,-118.0700672,33.9644577,Los Angeles County,library,amenity
368169519,-118.1200693,33.9933465,Los Angeles County,library,amenity
368169521,-117.9406192,34.0711207,Los Angeles County,library,amenity
368169524,-118.0783079,33.8879282,Los Angeles County,library,amenity
368169531,-118.1886824,33.9786253,Los Angeles County,library,amenity
368169532,-118.1506254,33.9666807,Los Angeles County,library,amenity
368169534,-117.9053403,34.1347297,Los Angeles County,library,amenity
368169535,-118.0107894,33.9058963,Los Angeles County,library,amenity
368169539,-118.1975704,33.8964046,Los Angeles County,library,amenity
368169540,-118.0356225,34.0669541,Los Angeles County,library,amenity
368169542,-117.9779407,34.1381741,Los Angeles County,library,amenity
368169544,-118.17459,33.9594776,Los Angeles County,library,amenity
368169545,-118.1251429,34.0590388,Los Angeles County,library,amenity
368169557,-117.841449,34.0266782,Los Angeles County,library,amenity
368169572,-117.8874126,34.0882172,Los Angeles County,library,amenity
368169573,-117.8531162,34.1061198,Los Angeles County,library,amenity
368169574,-117.9330567,34.1039225,Los Angeles County,library,amenity
368169605,-118.0125663,34.1102858,Los Angeles County,library,amenity
368169607,-117.8280524,34.6168189,Los Angeles County,library,amenity
368169611,-118.016733,34.08612,Los Angeles County,library,amenity
368169624,-118.3697998,34.0641767,Los Angeles County,library,amenity
368169640,-118.1557794,34.1142732,Los Angeles County,library,amenity
368169643,-118.2307863,34.0050894,Los Angeles County,library,amenity
368169648,-118.0983209,34.1434844,Los Angeles County,library,amenity
368169652,-118.1778501,34.1700063,Los Angeles County,library,amenity
368169653,-118.1800207,34.0407904,Los Angeles County,library,amenity
368169656,-118.2554329,34.1632363,Los Angeles County,library,amenity
